db_id,hash,value,n,pubkey
161840717,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,21.1099773,14,{1LZAL3oVy3UwGpP2HqdWpWJrqRwayARQMs}
161840718,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,0.00057855,15,{1A8KSQakNTfJKgV2XksYiN5ZYuDk5WUP5i}
161840719,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,3.874,16,{1N6EhkKUHLugajDsXpCPHNPJEuEgrLrTMf}
161840720,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,21.10929875,17,{14eSgPTBDrCG34h4vboTZ3YXTeeLSWPnru}
161840721,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,21.15285072,18,{193kr9gLtULPkyE54tgcYGELBktvh3KSfq}
161840722,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,63.29466312,19,{1GjQes9mr1D6MEe68YWWzvh8TEXzavJA3A}
161840723,c924527576aebbbd332795b853cf1f98eb10dd9ecc593a6bf412ad23c8c5e351,5.7,20,{19ikcrwE4kiiDoHrsdRS8gm88Xsc5Tm9X3}
161840724,359095f060a8cd0c6cd46886fcfc48db6a1ebfd00df16458ea051be75ed8bef2,43.75,0,{1byQQv1WGoNkRXP6vm431XbxZBzAXQyci}
161840725,359095f060a8cd0c6cd46886fcfc48db6a1ebfd00df16458ea051be75ed8bef2,19.54456312,1,{1BMch2gbHr5QW5gRktgDu9HieNnidTnVST}
161840726,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.0032,0,{17kf9rgwa5FhDQDaXAgUMNqXnNRTejnGzp}
161840727,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.0977,1,{13mZw76aBw4FY9Y3NJtUku7GBYjZ4Zw3zE}
161840728,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.0009,2,{14gq9rWDfSXHvow5JBDjaz6YbCahmvRSUD}
161840729,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.4822,3,{1KtDWwXZHae3DfjxsvQ5FwTymhUaW6bVeF}
161840730,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.3,4,{1KdhQ69EVHbbykcHgpe9ftyqMjpeb6kJaD}
161840731,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,9.78771366,5,{1NMzMrAtcxsX9vkdsJm2TTH9nBtNawn7ct}
161840732,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.0041,6,{1EDzWFFKMFpbkYsX1xJTy6hki4v9viSY5c}
161840733,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.00314383,7,{1PaXvpAKBC6xHtt91beXSePRSunL12ffit}
161840734,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.4781,8,{1AH9UVUh8jTybkmUycdsyKi5UDXe1mcTTw}
161840735,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.00404383,9,{1G5DzTSLkzQQveQD6qvBDwfjQ1GcuMJBej}
161840736,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,19.5,10,{1LThqU2Bd52dprPzK1YLxmc7a1yMpbP3JH}
161840737,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.2799,11,{1NWP9889jKu55uF2k9THgo57xC1Cr7JTDW}
161840738,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.1,12,{14E54cjGqYLr3YVbC2MmpHxxFxBz4TEfM4}
161840739,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.2,13,{1fLU68nhC3hNQtTqRydUZW5Q8GSSk8r3u}
161840740,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,32.76431063,14,{1123fGzmkoNSyeCgzjSb8D16yqUhDzFQR2}
161840741,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,2.11771366,15,{174JLeBbUkcSBLuT5etSe3esruRFWg3Vd4}
161840742,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,11.83,16,{18YVsdZMQPBshwTVXnGjvbhmP6zyvSMRGp}
161840743,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.2758,17,{16yEhLhGRroxHamXJ498bFayTAQKmNcmt5}
161840744,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,5.62E-05,18,{1JLGzQFA4mHaPZPyHts8vUPbA2HaT3DWTM}
161840745,14f41bfc68a81a7c137c4bef76f6267d001caa13cb418bf137defdfa4be31e52,0.2758,19,{1FPXYrwKZ9JVzfZdH4ZAgRbAmj5VvWmWH5}
